SURFACE LAYER - Geometry
      Frame,       Rmin,       Rmax,       Rdif,       Ravg,       Rstd,      Rskew,      Rkurt,    N Total,     N Surf
         85,   5.785641,  14.085202,   8.299561,  11.313757,   1.410531,  -0.512511,   0.648523,        561,        262
         86,   8.407552,  13.491924,   5.084371,  11.352706,   0.914523,  -0.237369,  -0.022771,        561,        257
         87,   1.519954,  13.895137,  12.375183,  11.198774,   1.466506,  -3.348652,  18.842902,        561,        262
         88,   3.731652,  14.208875,  10.477222,  11.149033,   1.339910,  -1.693408,   6.105492,        561,        277
         89,   3.537387,  14.583465,  11.046077,  11.236935,   1.374084,  -1.786255,   6.742151,        561,        271
         90,   4.938167,  13.402818,   8.464651,  11.269819,   1.120287,  -1.397991,   5.165028,        561,        264
         91,   3.056947,  13.836113,  10.779166,  11.197534,   1.362205,  -1.832581,   6.862896,        561,        273
         92,   1.944039,  14.767039,  12.822999,  11.059638,   1.758228,  -2.263702,   8.805750,        561,        278
         93,   4.965053,  14.813886,   9.848833,  11.286360,   1.377040,  -0.562850,   1.761962,        561,        275
         94,   4.437639,  14.210462,   9.772823,  11.248758,   1.278095,  -1.135054,   4.023237,        561,        275
         95,   5.595472,  14.222604,   8.627131,  11.402432,   1.257948,  -0.462976,   1.043042,        561,        266
         96,   3.069121,  14.097283,  11.028162,  11.220743,   1.491815,  -1.703024,   6.474979,        561,        275
         97,   1.297059,  14.130492,  12.833433,  11.207617,   1.472141,  -2.601959,  13.552358,        561,        279
         98,   1.143673,  14.841288,  13.697614,  11.200260,   1.499839,  -2.737701,  12.899405,        561,        277
         99,   5.085645,  14.246340,   9.160695,  11.237264,   1.291814,  -1.249856,   4.092361,        561,        278
        100,   5.194723,  14.345447,   9.150725,  11.313899,   1.314264,  -0.972793,   2.840872,        561,        273
        101,   5.198574,  14.298754,   9.100180,  11.243291,   1.408427,  -1.087456,   2.777339,        561,        283
