Q6Q6 BOND COORDINATION
      Frame,  Avg Total,   Avg Bulk,   Avg Surf,         T0,         T1,         T2,         T3,         T4,         T5,         T6,         T7,         T8,         T9,        T10,        T11,        T12,        T13,        T14,        T15,        T16,        T17,        T18,        T19,        T20,       T>20,         B0,         B1,         B2,         B3,         B4,         B5,         B6,         B7,         B8,         B9,        B10,        B11,        B12,        B13,        B14,        B15,        B16,        B17,        B18,        B19,        B20,       B>20,         S0,         S1,         S2,         S3,         S4,         S5,         S6,         S7,         S8,         S9,        S10,        S11,        S12,        S13,        S14,        S15,        S16,        S17,        S18,        S19,        S20,       S>20
         30,   3.925134,   7.519481,   1.409091,        224,         71,         43,         28,         20,         15,         17,         11,         12,         14,         16,         17,         14,         19,          8,          8,          8,          9,          4,          2,          1,          0,         47,         15,         11,          5,          9,          8,          9,          6,         10,         12,         14,         15,         13,         17,          8,          8,          8,          9,          4,          2,          1,          0,        177,         56,         32,         23,         11,          7,          8,          5,          2,          2,          2,          2,          1,          2,          0,          0,          0,          0,          0,          0,          0,          0
         31,   3.768271,   7.199134,   1.366667,        235,         68,         40,         38,         17,          5,         13,         22,         10,         12,         13,         12,         17,         19,         10,          9,         10,          7,          4,          0,          0,          0,         49,         21,         10,         10,          5,          2,          9,         15,          6,          8,         11,         11,         16,         18,         10,          9,         10,          7,          4,          0,          0,          0,        186,         47,         30,         28,         12,          3,          4,          7,          4,          4,          2,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0
         32,   3.112299,   5.538136,   1.350769,        208,        110,         50,         24,         24,         17,         19,         15,         12,         14,         16,         13,         10,          7,         11,          4,          5,          2,          0,          0,          0,          0,         58,         26,         18,          7,         10,          6,         12,         13,          9,         11,         15,         13,          9,          7,         11,          4,          5,          2,          0,          0,          0,          0,        150,         84,         32,         17,         14,         11,          7,          2,          3,          3,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0
         33,   3.237077,   6.030172,   1.267477,        233,         85,         47,         28,         18,         21,         18,         14,         10,          6,         12,         15,         11,         13,         14,          8,          3,          4,          1,          0,          0,          0,         59,         23,         10,          7,          9,         10,         14,         11,          9,          4,         10,         13,         11,         13,         13,          8,          3,          4,          1,          0,          0,          0,        174,         62,         37,         21,          9,         11,          4,          3,          1,          2,          2,          2,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0
         34,   3.083779,   5.765957,   1.150307,        235,         96,         43,         26,         24,         12,         15,         15,          8,         16,         10,         16,          8,          9,         10,          7,         10,          1,          0,          0,          0,          0,         55,         30,         12,         12,          8,          7,         13,         11,          7,         11,          9,         16,          8,          8,         10,          7,         10,          1,          0,          0,          0,          0,        180,         66,         31,         14,         16,          5,          2,          4,          1,          5,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0
         35,   3.622103,   6.894273,   1.398204,        220,         91,         38,         32,         22,         10,         11,         13,         17,         16,         14,         16,         13,         13,          7,          6,         12,          8,          1,          1,          0,          0,         55,         16,          9,          9,          7,          4,          7,          9,         12,         14,         11,         15,         11,         13,          7,          6,         12,          8,          1,          1,          0,          0,        165,         75,         29,         23,         15,          6,          4,          4,          5,          2,          3,          1,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0
         36,   3.971480,   7.991379,   1.136778,        240,         91,         32,         17,         18,         12,          5,         14,          9,         17,          9,          8,         13,          5,         16,         16,          8,         13,         17,          1,          0,          0,         52,         23,          7,          6,          4,          5,          5,          6,          6,         14,          9,          8,         12,          4,         16,         16,          8,         13,         17,          1,          0,          0,        188,         68,         25,         11,         14,          7,          0,          8,          3,          3,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0
         37,   3.237077,   5.788382,   1.315625,        223,         94,         46,         32,         19,         18,         19,         13,          8,         12,         16,          9,         14,         13,          6,          4,          7,          5,          3,          0,          0,          0,         55,         31,         13,         12,          9,         11,         12,         10,          7,          9,         15,          8,         13,         11,          6,          4,          7,          5,          3,          0,          0,          0,        168,         63,         33,         20,         10,          7,          7,          3,          1,          3,          1,          1,          1,          2,          0,          0,          0,          0,          0,          0,          0,          0
         38,   2.370766,   4.472340,   0.855828,        281,         87,         42,         22,         16,         12,         19,         17,         17,          1,         11,          8,          6,          5,          7,          4,          4,          2,          0,          0,          0,          0,         71,         31,         16,         10,         10,          9,         15,         12,         15,          1,         10,          7,          6,          5,          7,          4,          4,          2,          0,          0,          0,          0,        210,         56,         26,         12,          6,          3,          4,          5,          2,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
         39,   3.440285,   6.483607,   1.097792,        257,         84,         31,         29,         16,         10,         12,          9,          8,         12,         15,         12,         14,          6,          7,          9,          9,          9,         10,          2,          0,          0,         79,         22,          4,          7,          7,          6,          7,          4,          6,         11,         13,         12,         14,          6,          7,          9,          9,          9,         10,          2,          0,          0,        178,         62,         27,         22,          9,          4,          5,          5,          2,          1,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
