COORDINATION STATS (T=total B=bulk S=surface So=surface only)
      Frame,       Type,  Avg Total,   Avg Bulk,   Avg Surf,  Avg Surfo,         T0,         T1,         T2,         T3,         T4,         T5,         T6,         T7,         T8,         T9,        T10,        T11,        T12,        T13,        T14,        T15,        T16,        T17,        T18,        T19,        T20,         B0,         B1,         B2,         B3,         B4,         B5,         B6,         B7,         B8,         B9,        B10,        B11,        B12,        B13,        B14,        B15,        B16,        B17,        B18,        B19,        B20,         S0,         S1,         S2,         S3,         S4,         S5,         S6,         S7,         S8,         S9,        S10,        S11,        S12,        S13,        S14,        S15,        S16,        S17,        S18,        S19,        S20,        S0o,        S1o,        S2o,        S3o,        S4o,        S5o,        S6o,        S7o,        S8o,        S9o,       S10o,       S11o,       S12o,       S13o,       S14o,       S15o,       S16o,       S17o,       S18o,       S19o,       S20o
          7,          2,   6.422297,   8.013889,   4.914474,   2.723684,          0,          0,          0,          7,         54,         39,         49,          6,        136,          5,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          3,        136,          5,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          7,         54,         39,         49,          3,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         27,          5,         32,          9,         77,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
          8,      Total,   8.320856,  10.148867,   6.079365,   3.634921,          0,          0,          1,          9,         51,         45,         51,         31,        169,         39,          0,          5,        151,          9,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          4,        136,          4,          0,          5,        151,          9,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          9,         51,         45,         51,         27,         33,         35,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         29,          4,         28,         14,        108,         32,         37,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
          8,          1,  10.475472,  12.024242,   7.920000,   5.030000,          0,          0,          0,          0,          0,          4,          3,         25,         33,         35,          0,          5,        151,          9,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,        151,          9,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          4,          3,         25,         33,         35,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,         32,         30,         37,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
          8,          2,   6.391892,   8.000000,   4.868421,   2.717105,          0,          0,          1,          9,         51,         41,         48,          6,        136,          4,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          4,        136,          4,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          9,         51,         41,         48,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         29,          4,         28,         13,         76,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
          9,      Total,   8.313725,  10.177994,   6.027778,   3.579365,          0,          0,          0,          8,         58,         43,         49,         36,        165,         36,          1,          4,        144,         17,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,        133,          4,          1,          4,        144,         17,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          8,         58,         43,         49,         30,         32,         32,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         31,          3,         28,         17,        106,         34,         33,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
          9,          1,  10.475472,  12.078788,   7.830000,   4.960000,          0,          0,          0,          0,          0,          5,          3,         28,         32,         32,          0,          4,        144,         17,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          4,        144,         17,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,          3,         28,         32,         32,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          2,         33,         32,         33,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
          9,          2,   6.378378,   8.000000,   4.842105,   2.671053,          0,          0,          0,          8,         58,         38,         46,          8,        133,          4,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,        133,          4,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          8,         58,         38,         46,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         31,          3,         28,         15,         73,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
         10,      Total,   8.317291,  10.174757,   6.039683,   3.595238,          0,          0,          0,         11,         58,         38,         51,         32,        165,         41,          0,          7,        139,         19,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,        134,          5,          0,          7,        139,         19,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         11,         58,         38,         51,         27,         31,         36,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         31,          4,         30,         11,        107,         33,         36,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
         10,          1,  10.509434,  12.072727,   7.930000,   5.030000,          0,          0,          0,          0,          0,          3,          4,         26,         31,         36,          0,          7,        139,         19,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          7,        139,         19,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          3,          4,         26,         31,         36,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         33,         31,         36,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
         10,          2,   6.354730,   8.000000,   4.796053,   2.651316,          0,          0,          0,         11,         58,         35,         47,          6,        134,          5,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,        134,          5,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         11,         58,         35,         47,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         31,          4,         30,         11,         74,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
